abs_time,boot_time_s,temperature_C
2026-01-08 15:36:14.788,7.749,38.50
2026-01-08 15:36:15.110,8.051,37.75
2026-01-08 15:36:15.431,8.353,38.00
2026-01-08 15:36:15.752,8.655,38.00
2026-01-08 15:36:16.074,8.957,38.00
2026-01-08 15:36:16.395,9.259,38.00
2026-01-08 15:36:16.716,9.561,37.50
2026-01-08 15:36:17.037,9.863,37.75
2026-01-08 15:36:17.360,10.165,37.50
2026-01-08 15:36:17.681,10.467,37.75
2026-01-08 15:36:18.002,10.769,37.50
2026-01-08 15:36:18.323,11.071,37.75
2026-01-08 15:36:18.645,11.373,37.75
2026-01-08 15:36:18.966,11.675,37.50
2026-01-08 15:36:19.287,11.977,37.75
2026-01-08 15:36:19.609,12.279,37.50
2026-01-08 15:36:19.930,12.581,37.75
2026-01-08 15:36:20.251,12.883,37.50
2026-01-08 15:36:20.572,13.185,37.50
2026-01-08 15:36:20.893,13.487,37.25
2026-01-08 15:36:21.214,13.789,36.50
2026-01-08 15:36:21.536,14.091,37.50
2026-01-08 15:36:21.857,14.393,37.25
2026-01-08 15:36:22.179,14.695,37.50
2026-01-08 15:36:22.499,14.997,36.75
2026-01-08 15:36:22.820,15.299,37.00
2026-01-08 15:36:23.141,15.601,37.50
2026-01-08 15:36:23.463,15.903,37.25
2026-01-08 15:36:23.784,16.205,37.25
2026-01-08 15:36:24.105,16.507,37.00
2026-01-08 15:36:24.426,16.809,37.25
2026-01-08 15:36:24.747,17.111,36.75
2026-01-08 15:36:25.068,17.413,37.00
2026-01-08 15:36:25.389,17.715,36.75
2026-01-08 15:36:25.710,18.017,36.75
2026-01-08 15:36:26.032,18.319,36.75
2026-01-08 15:36:26.353,18.621,36.75
2026-01-08 15:36:26.675,18.923,37.00
2026-01-08 15:36:26.995,19.225,37.00
2026-01-08 15:36:27.317,19.527,36.75
2026-01-08 15:36:27.638,19.829,36.25
2026-01-08 15:36:27.959,20.131,36.50
2026-01-08 15:36:28.280,20.433,36.25
2026-01-08 15:36:28.602,20.735,36.50
2026-01-08 15:36:28.923,21.037,36.00
2026-01-08 15:36:29.244,21.339,36.50
2026-01-08 15:36:29.565,21.641,36.00
2026-01-08 15:36:29.887,21.943,36.75
2026-01-08 15:36:30.209,22.245,36.25
2026-01-08 15:36:30.530,22.547,36.25
2026-01-08 15:36:30.850,22.849,36.00
2026-01-08 15:36:31.171,23.151,36.50
2026-01-08 15:36:31.492,23.453,36.50
2026-01-08 15:36:31.813,23.755,36.75
2026-01-08 15:36:32.134,24.057,36.00
2026-01-08 15:36:32.456,24.359,36.25
2026-01-08 15:36:32.776,24.661,36.00
2026-01-08 15:36:33.098,24.963,36.00
